timestamp_utc,timestamp_peru,timestamp_nl,datum_ticket,dagen_vooruit,ruta,aforo,verkocht,beschikbaar,turnos_entregados,turnos_disponibles
2026-09-21T04:53:15.702Z,2026-09-20 23:53:15,2026-09-21 06:53:15,2026-09-22,2,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T04:53:15.702Z,2026-09-20 23:53:15,2026-09-21 06:53:15,2026-09-22,2,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T05:07:14.832Z,2026-09-21 00:07:14,2026-09-21 07:07:14,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T05:07:14.832Z,2026-09-21 00:07:14,2026-09-21 07:07:14,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T05:27:50.321Z,2026-09-21 00:27:50,2026-09-21 07:27:50,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T05:27:50.321Z,2026-09-21 00:27:50,2026-09-21 07:27:50,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T05:40:05.473Z,2026-09-21 00:40:05,2026-09-21 07:40:05,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T05:40:05.473Z,2026-09-21 00:40:05,2026-09-21 07:40:05,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T05:50:20.880Z,2026-09-21 00:50:20,2026-09-21 07:50:20,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T05:50:20.880Z,2026-09-21 00:50:20,2026-09-21 07:50:20,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T06:13:16.900Z,2026-09-21 01:13:16,2026-09-21 08:13:16,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T06:13:16.900Z,2026-09-21 01:13:16,2026-09-21 08:13:16,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T06:52:52.505Z,2026-09-21 01:52:52,2026-09-21 08:52:52,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T06:52:52.505Z,2026-09-21 01:52:52,2026-09-21 08:52:52,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T07:18:40.700Z,2026-09-21 02:18:40,2026-09-21 09:18:40,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T07:18:40.700Z,2026-09-21 02:18:40,2026-09-21 09:18:40,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T07:47:44.372Z,2026-09-21 02:47:44,2026-09-21 09:47:44,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T07:47:44.372Z,2026-09-21 02:47:44,2026-09-21 09:47:44,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T08:09:22.350Z,2026-09-21 03:09:22,2026-09-21 10:09:22,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T08:09:22.350Z,2026-09-21 03:09:22,2026-09-21 10:09:22,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T08:37:21.403Z,2026-09-21 03:37:21,2026-09-21 10:37:21,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T08:37:21.403Z,2026-09-21 03:37:21,2026-09-21 10:37:21,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T08:54:52.048Z,2026-09-21 03:54:52,2026-09-21 10:54:52,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T08:54:52.048Z,2026-09-21 03:54:52,2026-09-21 10:54:52,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T09:08:59.212Z,2026-09-21 04:08:59,2026-09-21 11:08:59,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T09:08:59.212Z,2026-09-21 04:08:59,2026-09-21 11:08:59,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T09:34:37.964Z,2026-09-21 04:34:37,2026-09-21 11:34:37,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T09:34:37.964Z,2026-09-21 04:34:37,2026-09-21 11:34:37,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T09:52:20.981Z,2026-09-21 04:52:20,2026-09-21 11:52:20,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T09:52:20.981Z,2026-09-21 04:52:20,2026-09-21 11:52:20,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T10:07:10.192Z,2026-09-21 05:07:10,2026-09-21 12:07:10,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T10:07:10.192Z,2026-09-21 05:07:10,2026-09-21 12:07:10,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T10:27:42.269Z,2026-09-21 05:27:42,2026-09-21 12:27:42,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T10:27:42.269Z,2026-09-21 05:27:42,2026-09-21 12:27:42,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T10:38:59.261Z,2026-09-21 05:38:59,2026-09-21 12:38:59,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,450,550
2026-09-21T10:38:59.261Z,2026-09-21 05:38:59,2026-09-21 12:38:59,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,359,241,450,550
2026-09-21T11:06:33.820Z,2026-09-21 06:06:33,2026-09-21 13:06:33,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,0,50,478,522
2026-09-21T11:06:33.820Z,2026-09-21 06:06:33,2026-09-21 13:06:33,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,365,235,478,522
2026-09-21T11:36:21.035Z,2026-09-21 06:36:21,2026-09-21 13:36:21,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,1,49,572,428
2026-09-21T11:36:21.035Z,2026-09-21 06:36:21,2026-09-21 13:36:21,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,414,186,572,428
2026-09-21T11:48:14.772Z,2026-09-21 06:48:14,2026-09-21 13:48:14,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,4,46,585,415
2026-09-21T11:48:14.772Z,2026-09-21 06:48:14,2026-09-21 13:48:14,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,437,163,585,415
2026-09-21T12:09:21.094Z,2026-09-21 07:09:21,2026-09-21 14:09:21,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,4,46,654,346
2026-09-21T12:09:21.094Z,2026-09-21 07:09:21,2026-09-21 14:09:21,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,481,119,654,346
2026-09-21T12:35:02.694Z,2026-09-21 07:35:02,2026-09-21 14:35:02,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,4,46,709,291
2026-09-21T12:35:02.694Z,2026-09-21 07:35:02,2026-09-21 14:35:02,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,544,56,709,291
2026-09-21T12:53:38.566Z,2026-09-21 07:53:38,2026-09-21 14:53:38,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,4,46,709,291
2026-09-21T12:53:38.566Z,2026-09-21 07:53:38,2026-09-21 14:53:38,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,555,45,709,291
2026-09-21T13:06:29.435Z,2026-09-21 08:06:29,2026-09-21 15:06:29,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,4,46,733,267
2026-09-21T13:06:29.435Z,2026-09-21 08:06:29,2026-09-21 15:06:29,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,561,39,733,267
2026-09-21T13:27:04.594Z,2026-09-21 08:27:04,2026-09-21 15:27:04,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,6,44,773,227
2026-09-21T13:27:04.594Z,2026-09-21 08:27:04,2026-09-21 15:27:04,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,573,27,773,227
2026-09-21T13:38:21.385Z,2026-09-21 08:38:21,2026-09-21 15:38:21,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,6,44,799,201
2026-09-21T13:38:21.385Z,2026-09-21 08:38:21,2026-09-21 15:38:21,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,596,4,799,201
2026-09-21T13:49:03.901Z,2026-09-21 08:49:03,2026-09-21 15:49:03,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,6,44,827,173
2026-09-21T13:49:03.901Z,2026-09-21 08:49:03,2026-09-21 15:49:03,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,599,1,827,173
2026-09-21T14:07:24.078Z,2026-09-21 09:07:24,2026-09-21 16:07:24,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,8,42,870,130
2026-09-21T14:07:24.078Z,2026-09-21 09:07:24,2026-09-21 16:07:24,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,870,130
2026-09-21T14:28:47.591Z,2026-09-21 09:28:47,2026-09-21 16:28:47,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,10,40,899,101
2026-09-21T14:28:47.591Z,2026-09-21 09:28:47,2026-09-21 16:28:47,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,899,101
2026-09-21T14:42:15.229Z,2026-09-21 09:42:15,2026-09-21 16:42:15,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,12,38,905,95
2026-09-21T14:42:15.229Z,2026-09-21 09:42:15,2026-09-21 16:42:15,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,905,95
2026-09-21T14:50:51.250Z,2026-09-21 09:50:51,2026-09-21 16:50:51,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,15,35,917,83
2026-09-21T14:50:51.250Z,2026-09-21 09:50:51,2026-09-21 16:50:51,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,917,83
2026-09-21T15:06:48.037Z,2026-09-21 10:06:48,2026-09-21 17:06:48,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,16,34,924,76
2026-09-21T15:06:48.037Z,2026-09-21 10:06:48,2026-09-21 17:06:48,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,924,76
2026-09-21T15:24:58.125Z,2026-09-21 10:24:58,2026-09-21 17:24:58,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,16,34,936,64
2026-09-21T15:24:58.125Z,2026-09-21 10:24:58,2026-09-21 17:24:58,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,936,64
2026-09-21T15:35:34.212Z,2026-09-21 10:35:34,2026-09-21 17:35:34,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,18,32,938,62
2026-09-21T15:35:34.212Z,2026-09-21 10:35:34,2026-09-21 17:35:34,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,938,62
2026-09-21T15:48:27.793Z,2026-09-21 10:48:27,2026-09-21 17:48:27,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,21,29,941,59
2026-09-21T15:48:27.793Z,2026-09-21 10:48:27,2026-09-21 17:48:27,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,941,59
2026-09-21T16:07:11.623Z,2026-09-21 11:07:11,2026-09-21 18:07:11,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,21,29,949,51
2026-09-21T16:07:11.623Z,2026-09-21 11:07:11,2026-09-21 18:07:11,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,949,51
2026-09-21T16:28:57.145Z,2026-09-21 11:28:57,2026-09-21 18:28:57,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,21,29,951,49
2026-09-21T16:28:57.145Z,2026-09-21 11:28:57,2026-09-21 18:28:57,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,951,49
2026-09-21T16:41:49.354Z,2026-09-21 11:41:49,2026-09-21 18:41:49,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,21,29,951,49
2026-09-21T16:41:49.354Z,2026-09-21 11:41:49,2026-09-21 18:41:49,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,951,49
2026-09-21T16:50:04.332Z,2026-09-21 11:50:04,2026-09-21 18:50:04,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,21,29,951,49
2026-09-21T16:50:04.332Z,2026-09-21 11:50:04,2026-09-21 18:50:04,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,951,49
2026-09-21T17:06:25.738Z,2026-09-21 12:06:25,2026-09-21 19:06:25,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,21,29,971,29
2026-09-21T17:06:25.738Z,2026-09-21 12:06:25,2026-09-21 19:06:25,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,971,29
2026-09-21T17:22:04.279Z,2026-09-21 12:22:04,2026-09-21 19:22:04,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,25,25,1000,0
2026-09-21T17:22:04.279Z,2026-09-21 12:22:04,2026-09-21 19:22:04,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T17:33:47.422Z,2026-09-21 12:33:47,2026-09-21 19:33:47,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,28,22,1000,0
2026-09-21T17:33:47.422Z,2026-09-21 12:33:47,2026-09-21 19:33:47,2026-09-22,1,"Ruta 2-A: Clásico Diseñada",600,600,0,1000,0
2026-09-21T17:48:24.877Z,2026-09-21 12:48:24,2026-09-21 19:48:24,2026-09-22,1,"Ruta 1-A: Montaña Machupicchu",50,32,18,1000,0
